ID,epoch,train_loss,train_acc,val_loss,val_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
525268,1,2.947962089018388,0.1296825734051791,3.0019912719726562,0.16713627747126988,58.79099941253662,False,,,1,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-21-45,1715793705,58.79099941253662,26903,sassauna2.ee.ethz.ch,129.132.4.155,58.79099941253662,0,1,0.004896640777587891
525268,2,2.910152326930653,0.16469199007207697,3.002232006617955,0.16264843940734863,53.9532527923584,False,,,2,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-22-39,1715793759,112.74425220489502,26903,sassauna2.ee.ethz.ch,129.132.4.155,112.74425220489502,0,2,0.004896640777587891
525268,3,2.8778944232247095,0.1639498472213745,2.9420021261487688,0.16320271151406424,51.141592264175415,False,,,3,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-23-30,1715793810,163.88584446907043,26903,sassauna2.ee.ethz.ch,129.132.4.155,163.88584446907043,0,3,0.004896640777587891
525268,4,2.7816861109300093,0.16601699048822577,3.001465014048985,0.16463608401162283,49.91896605491638,False,,,4,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-24-20,1715793860,213.80481052398682,26903,sassauna2.ee.ethz.ch,129.132.4.155,213.80481052398682,0,4,0.004896640777587891
525268,5,2.8693315115841953,0.16401390595869583,2.8446759496416365,0.16346165112086705,47.99943518638611,False,,,5,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-25-08,1715793908,261.8042457103729,26903,sassauna2.ee.ethz.ch,129.132.4.155,261.8042457103729,0,5,0.004896640777587891
525268,6,2.759034048427235,0.1669029864397916,2.9293629101344516,0.16665244102478027,45.5070161819458,False,,,6,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-25-54,1715793954,307.3112618923187,26903,sassauna2.ee.ethz.ch,129.132.4.155,307.3112618923187,0,6,0.004896640777587891
525268,7,2.6951750191775234,0.16809283603321423,2.837940216064453,0.1662783282143729,51.44676232337952,False,,,7,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-26-45,1715794005,358.75802421569824,26903,sassauna2.ee.ethz.ch,129.132.4.155,358.75802421569824,0,7,0.004896640777587891
525268,8,2.6914342533458364,0.16344321857799182,2.74295973777771,0.17055460384913854,48.50910949707031,False,,,8,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-27-34,1715794054,407.26713371276855,26903,sassauna2.ee.ethz.ch,129.132.4.155,407.26713371276855,0,8,0.004896640777587891
525268,9,2.588838057084517,0.16789839484474875,2.8293611322130476,0.16710536820547922,48.59747672080994,False,,,9,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-28-22,1715794102,455.8646104335785,26903,sassauna2.ee.ethz.ch,129.132.4.155,455.8646104335785,0,9,0.004896640777587891
525268,10,2.604705051942305,0.17238191041079434,2.7279340539659773,0.17688640526362828,47.01293730735779,False,,,10,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-29-09,1715794149,502.8775477409363,26903,sassauna2.ee.ethz.ch,129.132.4.155,502.8775477409363,0,10,0.004896640777587891
525268,11,2.6431853120977227,0.17719001119787042,2.7158234119415283,0.1649338858468192,45.68592119216919,False,,,11,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-29-55,1715794195,548.5634689331055,26903,sassauna2.ee.ethz.ch,129.132.4.155,548.5634689331055,0,11,0.004896640777587891
525268,12,2.6248063174161045,0.17899509993466464,2.787360225405012,0.1734879527773176,46.06886839866638,False,,,12,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-30-41,1715794241,594.6323373317719,26903,sassauna2.ee.ethz.ch,129.132.4.155,594.6323373317719,0,12,0.004896640777587891
525268,13,2.6344628550789575,0.17587747357108377,2.730909756251744,0.16950092996869767,48.82861113548279,False,,,13,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-31-30,1715794290,643.4609484672546,26903,sassauna2.ee.ethz.ch,129.132.4.155,643.4609484672546,0,13,0.004896640777587891
525268,14,2.6315519592978736,0.1811282526363026,2.7233171122414723,0.18461227416992188,48.8025586605072,False,,,14,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-32-19,1715794339,692.2635071277618,26903,sassauna2.ee.ethz.ch,129.132.4.155,692.2635071277618,0,14,0.004896640777587891
525268,15,2.5363803776827725,0.1752969134937633,2.7901945454733714,0.18856021336146764,48.674633264541626,False,,,15,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-33-07,1715794387,740.9381403923035,26903,sassauna2.ee.ethz.ch,129.132.4.155,740.9381403923035,0,15,0.004896640777587891
525268,16,2.628187287937511,0.18685234676707874,2.7944184030805315,0.17858103343418666,51.80120587348938,False,,,16,74ca9_00000,46223d20a5ff4f50bca42d036c8f5429,2024-05-15_19-33-59,1715794439,792.7393462657928,26903,sassauna2.ee.ethz.ch,129.132.4.155,792.7393462657928,0,16,0.004896640777587891
