ID,epoch,t_epoch,train_loss,train_acc,val_loss,val_acc,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
194167,1,26.036895990371704,3.723268834027377,0.0806444612416354,3.172022887638637,0.04369053670338222,0.0099989,38.40488934516907,False,,,1,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-19-27,1716027567,38.40488934516907,85524,Neptune,127.0.0.1,38.40488934516907,0,1,0.015697002410888672
194167,2,18.1309175491333,3.083194710991599,0.1125877553766424,2.83300358908517,0.1211932727268764,0.0099978,18.15199327468872,False,,,2,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-19-45,1716027585,56.55688261985779,85524,Neptune,127.0.0.1,56.55688261985779,0,2,0.015697002410888672
194167,3,18.45998764038086,2.9755431088534268,0.13866547020998868,2.8922043527875627,0.16312670707702637,0.009996699999999999,18.483192920684814,False,,,3,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-20-03,1716027603,75.0400755405426,85524,Neptune,127.0.0.1,75.0400755405426,0,3,0.015697002410888672
194167,4,17.931979417800903,2.9529522982510654,0.14617995782331986,2.9500268527439664,0.1482518400464739,0.0099956,17.95374846458435,False,,,4,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-20-21,1716027621,92.99382400512695,85524,Neptune,127.0.0.1,92.99382400512695,0,4,0.015697002410888672
194167,5,17.960078716278076,2.9770065437663686,0.1508491039276123,2.8648932661328996,0.11483325277056013,0.0099945,17.985410690307617,False,,,5,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-20-39,1716027639,110.97923469543457,85524,Neptune,127.0.0.1,110.97923469543457,0,5,0.015697002410888672
194167,6,18.335128784179688,2.912390253760598,0.14200545441020618,2.8392608165740967,0.1576385498046875,0.0099934,18.35645294189453,False,,,6,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-20-57,1716027657,129.3356876373291,85524,Neptune,127.0.0.1,129.3356876373291,0,6,0.015697002410888672
194167,7,18.277364015579224,2.8627719662406226,0.1517556689002297,2.8172851971217563,0.15306389331817627,0.009992299999999999,18.29588770866394,False,,,7,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-21-16,1716027676,147.63157534599304,85524,Neptune,127.0.0.1,147.63157534599304,0,7,0.015697002410888672
194167,8,18.101025819778442,2.8903712142597544,0.16225266456604004,2.8986250332423618,0.16561995233808244,0.0099912,18.116076469421387,False,,,8,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-21-34,1716027694,165.74765181541443,85524,Neptune,127.0.0.1,165.74765181541443,0,8,0.015697002410888672
194167,9,18.949724674224854,2.8125349391590464,0.15340701016512784,2.7632673467908586,0.16466120311192103,0.0099901,18.969457387924194,False,,,9,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-21-53,1716027713,184.71710920333862,85524,Neptune,127.0.0.1,184.71710920333862,0,9,0.015697002410888672
194167,10,19.03453016281128,2.9288022084669634,0.15747812661257657,2.779980114528111,0.16316514355795725,0.009989,19.05306077003479,False,,,10,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-22-12,1716027732,203.7701699733734,85524,Neptune,127.0.0.1,203.7701699733734,0,10,0.015697002410888672
194167,11,18.379971742630005,2.865622130307284,0.15671048381111838,2.965165819440569,0.1546966348375593,0.0099879,18.40760374069214,False,,,11,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-22-30,1716027750,222.17777371406555,85524,Neptune,127.0.0.1,222.17777371406555,0,11,0.015697002410888672
194167,12,18.362648487091064,2.9243962981484155,0.1578532565723766,2.7243876116616383,0.13965117931365967,0.0099868,18.378620147705078,False,,,12,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-22-49,1716027769,240.55639386177063,85524,Neptune,127.0.0.1,240.55639386177063,0,12,0.015697002410888672
194167,13,18.22750210762024,2.8299633372913706,0.1614119898189198,2.9213509219033376,0.1644242831638881,0.0099857,18.242153882980347,False,,,13,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-23-07,1716027787,258.798547744751,85524,Neptune,127.0.0.1,258.798547744751,0,13,0.015697002410888672
194167,14,18.571989059448242,2.9494131695140493,0.1620065082203258,2.894073690686907,0.16463232040405273,0.0099846,18.586897134780884,False,,,14,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-23-26,1716027806,277.38544487953186,85524,Neptune,127.0.0.1,277.38544487953186,0,14,0.015697002410888672
194167,15,18.388628721237183,2.909522923556241,0.1616699912331321,2.8484720843178883,0.16760408878326416,0.0099835,18.41031789779663,False,,,15,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-23-44,1716027824,295.7957627773285,85524,Neptune,127.0.0.1,295.7957627773285,0,15,0.015697002410888672
194167,16,18.09527087211609,2.8263321789828213,0.1560345237905329,2.6220381600516185,0.16321192468915666,0.0099824,18.119038581848145,False,,,16,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-24-02,1716027842,313.91480135917664,85524,Neptune,127.0.0.1,313.91480135917664,0,16,0.015697002410888672
194167,17,18.39866876602173,2.8604371547698975,0.16447787935083563,2.757934365953718,0.16270453589303152,0.0099813,18.421090364456177,False,,,17,00f10_00000,a9baa281066548028e7ffa499852772e,2024-05-18_12-24-20,1716027860,332.3358917236328,85524,Neptune,127.0.0.1,332.3358917236328,0,17,0.015697002410888672
