ID,epoch,t_epoch,train_loss,train_acc,val_loss,val_acc,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
184264,1,49.88370990753174,2.9370793212543833,0.13200003450567072,2.856034823826381,0.16386990887778147,0.0099945,58.97293782234192,False,,,1,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-46-55,1716284815,58.97293782234192,82120,Neptune,127.0.0.1,58.97293782234192,0,1,0.0
184264,2,48.30067443847656,2.6974292668429287,0.1568627032366666,2.8321435110909596,0.15916049480438232,0.009989,48.307612895965576,False,,,2,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-47-43,1716284863,107.2805507183075,82120,Neptune,127.0.0.1,107.2805507183075,0,2,0.0
184264,3,45.18108534812927,2.7350295023484663,0.1691434166648171,2.890206745692662,0.16587708677564347,0.0099835,45.18108534812927,False,,,3,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-48-28,1716284908,152.46163606643677,82120,Neptune,127.0.0.1,152.46163606643677,0,3,0.0
184264,4,45.38903212547302,2.6751037294214424,0.15951955318450928,2.8243861539023265,0.16320220061710902,0.009978,45.38903212547302,False,,,4,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-49-13,1716284953,197.8506681919098,82120,Neptune,127.0.0.1,197.8506681919098,0,4,0.0
184264,5,45.57512712478638,2.68260704387318,0.16487741470336914,2.8818166937146867,0.1713782889502389,0.0099725,45.59174299240112,False,,,5,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-49-59,1716284999,243.4424111843109,82120,Neptune,127.0.0.1,243.4424111843109,0,5,0.0
184264,6,45.34479308128357,2.734101338820024,0.1652143976905129,2.8574511664254323,0.16477102892739431,0.009967,45.35179400444031,False,,,6,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-50-44,1716285044,288.7942051887512,82120,Neptune,127.0.0.1,288.7942051887512,0,6,0.0
184264,7,45.253698110580444,2.6428413607857446,0.16337274421345105,2.8649444580078125,0.15863403252192906,0.0099615,45.26924276351929,False,,,7,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-51-30,1716285090,334.0634479522705,82120,Neptune,127.0.0.1,334.0634479522705,0,7,0.0
184264,8,46.32031035423279,2.7360066934065386,0.16239258376034824,2.8135729176657542,0.16433143615722656,0.009956000000000001,46.335991621017456,False,,,8,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-52-16,1716285136,380.39943957328796,82120,Neptune,127.0.0.1,380.39943957328796,0,8,0.0
184264,9,46.402817249298096,2.661925445903431,0.16393426331606778,2.8972382886069163,0.16316260610307967,0.0099505,46.402817249298096,False,,,9,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-53-02,1716285182,426.80225682258606,82120,Neptune,127.0.0.1,426.80225682258606,0,9,0.0
184264,10,46.40490221977234,2.6298299485986885,0.16660681637850674,2.8353045327322826,0.16667801993233816,0.009945,46.41488552093506,False,,,10,e9675_00000,d6335ed3a18247dc898aa6dd3b68e336,2024-05-21_11-53-49,1716285229,473.2171423435211,82120,Neptune,127.0.0.1,473.2171423435211,0,10,0.0
