ID,epoch,t_epoch,train_loss,train_acc,val_loss,val_acc,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
971220,1,20.803714513778687,3.065553231672807,0.07518432357094505,2.785271406173706,0.16110687596457346,0.0099989,36.42287826538086,False,,,1,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-20-44,1716110444,36.42287826538086,103612,Neptune,127.0.0.1,36.42287826538086,0,1,0.0
971220,2,15.568819522857666,2.8479086485776035,0.15780474922873758,2.9054973125457764,0.1618835755756923,0.0099978,15.578819274902344,False,,,2,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-20-59,1716110459,52.0016975402832,103612,Neptune,127.0.0.1,52.0016975402832,0,2,0.0
971220,3,16.546185731887817,2.845083084973422,0.16322757981040262,2.6676858833857944,0.16453770228794642,0.009996699999999999,16.566179513931274,False,,,3,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-21-16,1716110476,68.56787705421448,103612,Neptune,127.0.0.1,68.56787705421448,0,3,0.0
971220,4,16.81319522857666,2.763232707977295,0.16457718068903143,2.7144925594329834,0.1647149154118129,0.0099956,16.81319522857666,False,,,4,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-21-33,1716110493,85.38107228279114,103612,Neptune,127.0.0.1,85.38107228279114,0,4,0.0
971220,5,15.660368919372559,2.774480256167325,0.16806914589621805,2.853381701878139,0.1669938394001552,0.0099945,15.669880151748657,False,,,5,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-21-48,1716110508,101.0509524345398,103612,Neptune,127.0.0.1,101.0509524345398,0,5,0.0
971220,6,15.749735355377197,2.7186516414989126,0.16771483421325684,2.7491426127297536,0.16232686383383615,0.0099934,15.759706020355225,False,,,6,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-22-04,1716110524,116.81065845489502,103612,Neptune,127.0.0.1,116.81065845489502,0,6,0.0
971220,7,15.958734512329102,2.7221720218658447,0.16487578912214798,2.754211119243077,0.16573599406651088,0.009992299999999999,15.968721866607666,False,,,7,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-22-20,1716110540,132.77938032150269,103612,Neptune,127.0.0.1,132.77938032150269,0,7,0.0
971220,8,17.130428075790405,2.708170912482522,0.16554340449246494,2.6543311732155934,0.16719414506639754,0.0099912,17.140496253967285,False,,,8,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-22-37,1716110557,149.91987657546997,103612,Neptune,127.0.0.1,149.91987657546997,0,8,0.0
971220,9,16.089457511901855,2.5996747233650903,0.16729134863073175,2.6669486931392123,0.16154130867549352,0.0099901,16.099457025527954,False,,,9,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-22-53,1716110573,166.01933360099792,103612,Neptune,127.0.0.1,166.01933360099792,0,9,0.0
971220,10,16.190123796463013,2.6414516188881616,0.16197554631666702,2.8069377286093578,0.16797723088945662,0.009989,16.200122594833374,False,,,10,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-23-10,1716110590,182.2194561958313,103612,Neptune,127.0.0.1,182.2194561958313,0,10,0.0
971220,11,15.99274468421936,2.67001934485002,0.16628523306413132,2.5815084321158275,0.1614279236112322,0.0099879,16.00274395942688,False,,,11,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-23-26,1716110606,198.22220015525818,103612,Neptune,127.0.0.1,198.22220015525818,0,11,0.0
971220,12,16.66308903694153,2.597116058523005,0.16284907947887073,2.6958457061222623,0.16572724069867814,0.0099868,16.672597646713257,False,,,12,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-23-42,1716110622,214.89479780197144,103612,Neptune,127.0.0.1,214.89479780197144,0,12,0.0
971220,13,16.35372805595398,2.6163862618533047,0.16085029732097278,2.682237522942679,0.16740405559539795,0.0099857,16.356178760528564,False,,,13,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-23-59,1716110639,231.2509765625,103612,Neptune,127.0.0.1,231.2509765625,0,13,0.0
971220,14,16.160417795181274,2.659569350155917,0.1639794327995994,2.625537940434047,0.1649195977619716,0.0099846,16.170417308807373,False,,,14,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-24-15,1716110655,247.42139387130737,103612,Neptune,127.0.0.1,247.42139387130737,0,14,0.0
971220,15,15.449442625045776,2.6647538488561455,0.16289235245097766,2.6744963441576277,0.17065703868865967,0.0099835,15.459443092346191,False,,,15,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-24-30,1716110670,262.88083696365356,103612,Neptune,127.0.0.1,262.88083696365356,0,15,0.0
971220,16,15.26583456993103,2.6819399053400215,0.16846811771392822,2.5651346274784634,0.1624889373779297,0.0099824,15.269912242889404,False,,,16,f9a4c_00000,c1097b80d6504b9da5292a961b7dbf32,2024-05-19_11-24-45,1716110685,278.15074920654297,103612,Neptune,127.0.0.1,278.15074920654297,0,16,0.0
